id,industry_class_code,code,name,level
0,AFCAA,A,PROCESS,1
1,AFCAA,A10,Discrete,2
2,AFCAA,A20,IDM,2
3,AFCAA,A30,FABLESS,2
4,AFCAA,A40,FOUNDRY,2
5,AFCAA,A50,Chipless,2
6,AFCAA,A60,Design House,2
7,AFCAA,A70,OSAT,2
8,AFCAA,A80,Distributior,2
9,AFCAA,A10010,Discrete,3
10,AFCAA,A20010,IDM,3
11,AFCAA,A30010,Memory,3
12,AFCAA,A30020,Microcomponents,3
13,AFCAA,A30030,Logic IC,3
14,AFCAA,A30040,"Analog IC
",3
15,AFCAA,A30050,Sensors & Actuators,3
16,AFCAA,A30060,Optoelectonics,3
17,AFCAA,A40010,FOUNDRY,3
18,AFCAA,A50010,Chipless,3
19,AFCAA,A60010,Design House,3
20,AFCAA,A70010,Assembly,3
21,AFCAA,A70020,Test,3
22,AFCAA,A80010,Distributior,3
23,BSTES,B,EQUIPMENT,1
24,BSTES,B10,EDA,2
25,BSTES,B20,WAFER & MASK,2
26,BSTES,B30,FABRICATION,2
27,BSTES,B40,ASSEMBLY & TEST,2
28,BSTES,B10010,EDA,3
29,BSTES,B20010,Wafer Manufacturing,3
30,BSTES,B20020,Mask/Reticle,3
31,BSTES,B30010,Fab Facilities,3
32,BSTES,B30020,Exposure & Write,3
33,BSTES,B30030,Photoresist Processing,3
34,BSTES,B30040,Etch,3
35,BSTES,B30050,Ion Implant,3
36,BSTES,B30060,Thin Film Deposition,3
37,BSTES,B30070,CMP,3
38,BSTES,B30080,Surface Conditioning,3
39,BSTES,B30090,Thermal Process,3
40,BSTES,B30100,Inspection & Measurement,3
41,BSTES,B30110,Other Wafer Processing,3
42,BSTES,B40010,Assembly & Packaging,3
43,BSTES,B40020,Automated Test,3
44,CMTOT,C,MATETIAL,1
45,CMTOT,C10,WAFER,2
46,CMTOT,C20,FABRICATION,2
47,CMTOT,C30,ASSEMBLY,2
48,CMTOT,C40,TEST ,2
49,CMTOT,C10010,"Poly-Silicon
",3
50,CMTOT,C20010,Silicon Wafer,3
51,CMTOT,C20020,Photomask,3
52,CMTOT,C20030,Photoresists,3
53,CMTOT,C20040,Photoresist Ancillaries,3
54,CMTOT,C20050,Wet Chemicals,3
55,CMTOT,C20060,Photoresist Ancillaries,3
56,CMTOT,C20070,Precusor,3
57,CMTOT,C20080,Sputter Targets,3
58,CMTOT,C20090,CMP,3
59,CMTOT,C20100,Bulk Gas,3
60,CMTOT,C20110,Specialty Gas,3
61,CMTOT,C30010,Die Attach Materials,3
62,CMTOT,C30020,Dicing Blade,3
63,CMTOT,C30030,Leadframe,3
64,CMTOT,C30040,Bonding Wire,3
65,CMTOT,C30050,PCB,3
66,CMTOT,C30060,Bump,3
67,CMTOT,C30070,Other Packaging Materials,3
68,CMTOT,C30080,Encapsulant Materials,3
69,CMTOT,C40010,Probe Card,3
70,CMTOT,C40020,Test Socket,3
