id,code,name,type,domain_id
1,AFCAA,농축산업,C,1
2,AFCFS,수산업,C,1
3,AFCFR,임업,C,1
4,AFTSF,스마트팜,T,1
5,ERCOG,석유/가스/석탄,C,2
6,ERCEE,에너지장비/서비스,C,2
7,ERCWR,폐기/재생/광업지원,C,2
8,ERCRE,신재생에너지,C,2
9,ERTNP,원자력,T,2
10,ERTHD,수소,T,2
11,ERTCN,탄소중립/자원순환,T,2
12,UTCEU,전기유틸리티,C,3
13,UTCGU,가스유틸리티,C,3
14,UTCCU,복합유틸리티,C,3
15,UTCWU,수도유틸리티,C,3
16,UTCFR,연료유통,C,3
17,UTTSG,스마트그리드,T,3
18,UTTEF,ESS/연료전지,T,3
19,CICCS,건설,C,4
20,CICBM,건축자재/제품,C,4
21,CICTI,운송인프라,C,4
22,CITSC,스마트시티,T,4
23,TLCLT,육상운송,C,5
24,TLCWT,수상운송,C,5
25,TLCLA,물류/항공화물,C,5
26,TLCAP,항공여객,C,5
27,MDCSB,조선/해양,C,6
28,MDCAD,우주항공/국방,C,6
29,MDCAM,자동차/부품/유통,C,6
30,MDCMB,자동차외육상이동,C,6
31,MDTEV,전기차충전,T,6
32,MDTUD,UAM/드론,T,6
33,MDTAD,자율주행,T,6
34,EFCMC,기계장비/설비,C,7
35,EFCEE,전기장비/설비,C,7
36,EFCPO,정밀/광학기기,C,7
37,EFTSR,스마트팩토리/로봇,T,7
38,EFTRT,뿌리기술(소부장),T,7
39,EFTTP,3D프린팅,T,7
40,MBCPW,종이/목재제품,C,8
41,MBCCW,용기/포장지,C,8
42,MBCMM,금속채광/제조,C,8
43,MBCNM,비금속채광/제조,C,8
44,MBCRP,고무/플라스틱제조,C,8
45,MBCCM,화학제조,C,8
46,MBTNM,신소재/카본/나노,T,8
47,CGCFM,식품제조,C,9
48,CGCBA,음료/주류,C,9
49,CGCCG,담배,C,9
50,CGCCP,화장품/개인용품,C,9
51,CGCFL,패션/섬유/호화품,C,9
52,CGCFT,가구,C,9
53,CGCLL,생활/여가용품,C,9
54,CGTPB,프리미엄브랜드,T,9
55,CGTAI,엔젤산업,T,9
56,DSCFD,음식료품유통,C,10
57,DSCRD,복합소매유통,C,10
58,DSCSD,전문소매유통,C,10
59,DSCLR,생활서비스/수리,C,10
60,DSCTR,여행/음식/여가/예약,C,10
61,DSCRT,임대/렌탈,C,10
62,DSCDT,기타유통/무역,C,10
63,DSTPV,플랫폼/버티컬,T,10
64,MHCMW,의료기관및서비스,C,11
65,MHCAV,반려동물/수의학,C,11
66,MHCHT,헬스케어기술/서비스,C,11
67,MHCME,의료기기/용품,C,11
68,MHCPD,제약/의약품,C,11
69,MHCBB,바이오/생물공학,C,11
70,MHTTM,원격진료,T,11
71,MHTVD,백신/방역/진단시약,T,11
72,MHTHF,건강기능식품,T,11
73,MHTMD,메디컬뷰티/더마코스메틱,T,11
74,MHTSS,실버산업/시니어,T,11
75,IHCSC,반도체/부품/장비,C,12
76,IHCDP,디스플레이/부품/장비,C,12
77,IHCBT,배터리/부품/장비,C,12
78,IHCED,전자장비/기기/부품,C,12
79,IHCCP,컴퓨터/주변기기,C,12
80,IHCMB,휴대폰/통신기기/부품,C,12
81,IHCEH,전자제품/가정용기기,C,12
82,IHTQC,양자컴퓨터,T,12
83,ISCCM,통신서비스,C,13
84,IBCIS,인터넷정보서비스,C,13
85,IBCIT,IT서비스/솔루션,C,13
86,IBCSW,소프트웨어,C,13
87,ISTAI,인공지능,T,13
88,ISTCS,사이버보안,T,13
89,ISTCB,클라우드/빅데이터,T,13
90,ISTBC,블록체인,T,13
91,ISTNN,차세대통신,T,13
92,ISTIO,사물인터넷,T,13
93,CMCME,미디어/엔터테인먼트,C,14
94,CMCBP,도서/출판,C,14
95,CMCGM,게임,C,14
96,CMCAS,광고서비스,C,14
97,CMCES,교육서비스,C,14
98,CMTOT,OTT,T,14
99,CMTWT,웹툰,T,14
100,CMTMV,메타버스/가상현실,T,14
101,CMTKC,K컬처,T,14
102,BSCST,과학/기술서비스,C,15
103,BSCCP,상업/전문서비스,C,15
104,BSCCG,복합기업,C,15
105,BSCPU,공공/기관/단체,C,15
106,BSTSW,스마트워크,T,15
107,BSTES,ESG,T,15
108,FRCBK,은행,C,16
109,FRCIS,보험,C,16
110,FRCFS,금융서비스,C,16
111,FRCRE,부동산/리츠,C,16
112,FRTIB,인터넷은행,T,16
113,FRTFT,핀테크/전자결제,T,16
114,ZZZZZ,분류없음,T,17
