rcept_no,reprt_code,bsns_year,corp_code,stock_code,thstrm_amount_연결재무제표_재무상태표_유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동자산_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자산총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_비유동부채_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_부채총계_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_이익잉여금_2022.12.31 현재,thstrm_amount_연결재무제표_재무상태표_자본총계_2022.12.31 현재,thstrm_amount_연결재무제표_손익계산서_매출액_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_영업이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_법인세차감전 순이익_2022.01.01 ~ 2022.12.31,thstrm_amount_연결재무제표_손익계산서_당기순이익_2022.01.01 ~ 2022.12.31
20230331002832,11011,2022,389970,64260,"585,055,776,128","164,339,099,031","749,394,875,159","215,436,711,211","201,225,978,581","416,662,689,792","34,474,520,000","103,433,639,178","332,732,185,367","294,948,282,762","-2,755,768,464","-35,260,273,643","-33,844,823,562"
20230322000827,11011,2022,176835,54050,"201,066,327,633","126,326,338,083",,"72,910,220,292","4,348,080,441",,"8,015,280,500","178,650,367,819",,"146,301,268,028","11,011,911,336","10,704,052,167","9,821,132,155"
20230320000944,11011,2022,121507,1810,"98,472,152,155","214,320,975,874","312,793,128,029","57,027,947,245","47,782,974,452","104,810,921,697",,"139,477,922,544","207,982,206,332","153,455,101,045","-7,181,518,153","-11,597,829,977","-8,673,652,448"
20230317000562,11011,2022,288495,60560,"121,534,639,801","285,575,902,210","407,110,542,011","135,956,054,184","62,533,810,548","198,489,864,732","63,834,762,500","-13,575,001,053","208,620,677,279","432,056,654,804","23,653,111,731","23,151,471,287","18,787,077,341"
20230316000799,11011,2022,173944,105840,"95,530,996,575","131,522,379,087","227,053,375,662","35,100,263,649","15,383,681,021","50,483,944,670","10,161,807,000","52,466,483,216","176,569,430,992","124,056,658,737","11,894,433,807","14,528,662,739","11,784,761,014"
20230322000773,11011,2022,132992,15750,"1,602,080,402,854","2,062,090,646,959","3,664,171,049,813","1,885,767,111,853","327,792,611,228","2,213,559,723,081","40,000,000,000","1,055,501,638,248","1,450,611,326,732","3,977,034,638,341","99,182,732,498","65,663,465,498","38,511,491,705"
20230324000862,11011,2022,638487,150900,"33,308,047,231","18,350,515,121","51,658,562,352","11,730,665,165","7,531,048,262","19,261,713,427","5,817,461,000","18,044,945,169","32,396,848,925","44,123,812,663","5,196,974,333","5,297,435,636","5,273,931,495"
20230331003004,11011,2022,482426,101930,"85,858,046,592","254,863,663,875","340,721,710,467","158,686,201,310","11,684,903,218","170,371,104,528","4,665,852,500","117,861,348,481","170,350,605,939","148,389,679,600","9,885,108,636","-10,357,872,345","-10,771,026,339"
20230323001275,11011,2022,111874,5710,"396,902,640,643","162,411,817,172","559,314,457,815","126,737,297,050","14,914,798,958","141,652,096,008","10,018,800,000","394,824,732,837","417,662,361,807","737,040,613,357","31,395,680,385","50,831,156,939","37,657,871,675"
20230322000832,11011,2022,109286,490,"1,048,975,028,464","664,798,177,117","1,713,773,205,581","925,269,813,878","316,512,635,405","1,241,782,449,283","23,932,354,000","271,893,490,641","471,990,756,298","1,463,737,929,724","88,279,120,517","57,555,933,360","38,470,968,608"
