종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"060310","3S","KOSDAQ","중견기업부",,"032602","전자부품 제조업","03",,"48536642","500","24268321000","원(KRW)","김세완","02-896-9474","서울특별시 금천구 가산디지털1로 75-24 1310호"
"095570","AJ네트웍스","KOSPI",,,"147603","산업용 기계 및 장비 임대업","12",,"46822295","1000","46822295000","원(KRW)","손삼달","02-6363-9999","서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)"
"006840","AK홀딩스","KOSPI",,,"116409","기타 금융업","12",,"13247561","5000","66237805000","원(KRW)","채형석, 백차현(각자 대표이사)","02-768-2923","서울특별시 마포구 양화로 188 - "
"054620","APS홀딩스","KOSDAQ","중견기업부",,"116409","기타 금융업","12",,"20394221","500","10197110500","원(KRW)","정기로","031-776-1800","경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면)"
"265520","AP시스템","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"15281421","500","7640710500","원(KRW)","김영주","031-379-2700","경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp"
"211270","AP위성","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"15082304","500","7541152000","원(KRW)","류장수","02-2026-7800","서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp"
"027410","BGF","KOSPI",,,"116409","기타 금융업","12",,"95716791","1000","95716791000",,"홍정국","1577-3663","서울특별시 강남구 테헤란로 405 "
"282330","BGF리테일","KOSPI",,,"074701","종합 소매업","12",,"17283906","1000","17283906000","원(KRW)","이건준","02-1577-8007","서울특별시 강남구 테헤란로 405 BGF사옥"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"29535894","500","14767947000","원(KRW)","홍정혁","031-499-2195","경기도 화성시  장안면 상두원길 142 "
"138930","BNK금융지주","KOSPI",,,"116409","기타 금융업","12",,"325935246","5000","1629676230000","원(KRW)","빈대인","051-620-3023","부산광역시 남구 문현금융로 30(문현동) "
"001460","BYC","KOSPI",,,"031401","봉제의복 제조업","12",,"624615","5000","4200000000","원(KRW)","김 대 환","02-840-3172","서울특별시 영등포구 도림천로21길 3 "
"013720","CBI","KOSDAQ","중견기업부",,"033003","자동차 신품 부품 제조업","12",,"300046411","100","30004641100","원(KRW)","오경원","032 -816 -3550","인천광역시 남동구  남동대로 208 "
"001040","CJ","KOSPI",,,"116409","기타 금융업","12",,"29176998","5000","179047370000","원(KRW)","손경식, 김홍기","02-726-8114","서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) "
"079160","CJ CGV","KOSPI",,,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"47726368","500","23863184000","원(KRW)","허민회","02-371-6660","서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) "
"035760","CJ ENM","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"21929154","5000","110577370000","원(KRW)","Chang Gun Koo, Sang Hyun Yoon","02-2107-0114","서울특별시 서초구  과천대로 870-13 "
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"5878672","500","2939336000","원(KRW)","천종식","02-6078-3456","서울특별시 중구 세종대로 14 그랜드센트럴타워 B동 7층 "
"000120","CJ대한통운","KOSPI",,,"084903","도로 화물 운송업","12",,"22812344","5000","114061720000","원(KRW)","강신호,민영학(각자대표)","02-3782-0114","서울특별시 종로구 종로5길 7(청진동) Tower 8 "
"011150","CJ씨푸드","KOSPI",,,"031007","기타 식품 제조업","12",,"35930773","500","18065386500","원(KRW)","김정웅, 박태준(각자대표)","031-730-9114","경기도 성남시 중원구  둔촌대로388번길 32 (상대원동)"
"097950","CJ제일제당","KOSPI",,,"031007","기타 식품 제조업","12",,"15054186","5000","81908095000","원(KRW)","손경식, 최은석 (각자 대표이사)","726-8114","서울특별시 중구  동호로 330 "
"051500","CJ프레시웨이","KOSDAQ","중견기업부",,"074603","음·식료품 및 담배 도매업","12",,"11871586","1000","11871586000","원(KRW)","정성필","02-2149-6607","경기도 용인시 기흥구  기곡로 32  "
"058820","CMG제약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"138892244","500","69446122000","원(KRW)","이주형","031-881-7600","서울특별시 강남구 학동로 170 베터라이프빌딩 3층(논현동) "
"023460","CNH","KOSDAQ","중견기업부",,"116402","신탁업 및 집합투자업","12",,"37200000","2500","93000000000","원(KRW)","임영기,김양수(각자 대표이사)","02-3287-0700","경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)"
"056730","CNT85","KOSDAQ","중견기업부",,"064202","건물설비 설치 공사업","12",,"40246956","500","20123478000","원(KRW)","박종승","02-586-7200","경기도 안양시 동안구 학의로 268 6층 625호(관양동,안양메가밸리)"
"065770","CS","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"19411130","500","9705565000","원(KRW)","최규훈","031-622-3200","경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1)"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)",,"032004","기타 화학제품 제조업","12",,"39451193","200","7890238600","원(KRW)","조성아","02-6203-5370","서울특별시 강남구 학동로30길 20 -"
"000590","CS홀딩스","KOSPI",,,"116409","기타 금융업","12",,"1154482","5000","5772410000","원(KRW)","장원영","02-3459-9363","경상북도 포항시 남구 괴동로 43 (장흥동)"
"012030","DB","KOSPI",,,"106201","컴퓨터 프로그래밍, 시스템 통합 및 관리업","12",,"201173933","500","100586966500","원(KRW)","문덕식,강운식 (각자 대표이사)","02-2136-6000","서울특별시 강남구 삼성로96길 23 7층"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"5840000","100","584000000","원(KRW)","정근호","02-369-3521","서울특별시 영등포구 국제금융로8길 32 "
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"6050000","100","605000000","원(KRW)","홍창배","02-369-3972","서울특별시 영등포구 국제금융로8길 32 "
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4840000","100","484000000","원(KRW)","김창희","02-369-3972","서울특별시 영등포구 국제금융로8길 32 "
"016610","DB금융투자","KOSPI",,,"116601","금융 지원 서비스업","12",,"42446389","5000","212231945000","원(KRW)","곽봉석","02-369-3000","서울특별시 영등포구 국제금융로8길 32 동부증권빌딩"
"005830","DB손해보험","KOSPI",,,"116501","보험업","12",,"70800000","500","35400000000","원(KRW)","김정남, 정종표","02-1588-0100","서울특별시 강남구  테헤란로 432 "
"000990","DB하이텍","KOSPI",,,"032601","반도체 제조업","12",,"44398588","5000","222554520000","원(KRW)","조기석","02-3484-2888","경기도 부천시 수도로 90 (주)DB하이텍"
"139130","DGB금융지주","KOSPI",,,"116409","기타 금융업","12",,"169145833","5000","845729165000","원(KRW)","김태오","0537407900","대구광역시 북구 옥산로 111 대구은행 제2본점 9층"
"060900","DGP","KOSDAQ","중견기업부",,"043501","전기업","12",,"204260947","100","20426094700","원(KRW)","오경원","02-562-5310","전라남도 영광군 영광읍 그린테크로 23 - "
"025440","DH오토웨어","KOSDAQ","중견기업부",,"032605","영상 및 음향기기 제조업","12",,"142500000","500","71250000000","원(KRW)","양원기","02-2102-3031","서울 금천구 가산동 60-19 번지 "
"001530","DI동일","KOSPI",,,"074601","상품 중개업","12",,"26040677","500","13020338500","원(KRW)","서태원, 손재선","02-2222-3071","서울특별시 강남구  테헤란로 516 정헌빌딩 8층"
"000210","DL","KOSPI",,,"116409","기타 금융업","12",,"20955884","5000","138709995000","원(KRW)","김종현","02-2011-7114","서울특별시 종로구 통일로 134 디타워 돈의문"
"001880","DL건설","KOSPI",,,"064101","건물 건설업","12",,"22053284","5000","110266420000","원(KRW)","곽수윤","032-518-3535","인천광역시 남동구  미래로 14 "
"375500","DL이앤씨","KOSPI",,,"064102","토목 건설업","12",,"38693623","5000","214597295000","원(KRW)","마창민","02-2011-7114","서울특별시 종로구 통일로 134 "
"068790","DMS","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"24573061","500","12286530500","원(KRW)","이석화","031-8031-1133","경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동)"
"007340","DN오토모티브","KOSPI",,,"032802","일차전지 및 축전지 제조업","12",,"9994005","500","4997002500","원(KRW)","김상헌 김인환","055-380-5800","경상남도 양산시 산막공단북11길 103 -"
"004840","DRB동일","KOSPI",,,"032201","고무제품 제조업","12",,"19930000","500","9965000000","원(KRW)","류영식","051-520-9000","부산광역시 금정구 공단동로55번길 28 "
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"27811403","500","13905701500","원(KRW)","윤건수","02-3453-3190","서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층"
"065150","DSEN","KOSDAQ","벤처기업부",,"074603","음·식료품 및 담배 도매업","12",,"125282405","100","12528240500","원(KRW)","임지윤,김상욱(각자대표이사)","02-596-3300","서울특별시 서초구 서초중앙로 224 2층 205호(반포동,한양상가) "
"155660","DSR","KOSPI",,,"032402","1차 비철금속 제조업","12",,"16000000","500","8000000000","원(KRW)","홍석빈","02-3420-3591","부산광역시 강서구 녹산산업중로192번길 7 "
"069730","DSR제강","KOSPI",,,"032401","1차 철강 제조업","12",,"14400000","500","7200000000","원(KRW)","홍하종, 홍석빈 (각자 대표이사)","061-752-0121","전라남도 순천시  서면 산단1길 15 "
"180400","DXVX","KOSDAQ","중견기업부",,"137209","기타 과학기술 서비스업","12",,"28895385","500","14447692500","원(KRW)","박상태(단독 대표이사)","02-890-8700","서울특별시 금천구 디지털로 173, 1003 "
"017940","E1","KOSPI",,,"074607","기타 전문 도매업","12",,"6860000","5000","34300000000","원(KRW)","구자용, 천정식 (각자 대표이사)","02-3441-4114","서울특별시 용산구 한강대로 92 LS용산타워"
"245620","EDGC","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"84075931","100","8407593100","원(KRW)","대표이사 이민섭","032-713-2100","인천광역시 연수구 하모니로 291, 4층 &nbsp"
"037370","EG","KOSDAQ","중견기업부",,"064102","토목 건설업","12",,"8624972","1000","8624972000","원(KRW)","박지만","041 -750 -7777","충청남도 금산군 추부면 서대산로 459 "
"278990","EMB","KONEX","일반기업부",,"032801","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","12","SK증권","3628222","500","1814111000","원(KRW)","홍지태","031-463-8983","경기도 안양시 만안구 전파로 24번길 934층 "
"365550","ESR켄달스퀘어리츠","KOSPI",,,"126801","부동산 임대 및 공급업","05",,"213089000","1000","213089000000","원(KRW)","조주현","02-6205-0467","서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층 "
"050120","ES큐브","KOSDAQ","중견기업부",,"074604","생활용품 도매업","12",,"13564086","5000","69092013500","원(KRW)","안경환","02-3446-4875","서울특별시 강남구 강남대로 556 12층(논현동, 논현빌딩) "
"383220","F&F","KOSPI",,,"031401","봉제의복 제조업","12",,"38307075","100","3830707500","원(KRW)","김창수","02-520-0027","서울특별시 강남구 언주로 541 "
"007700","F&F홀딩스","KOSPI",,,"116409","기타 금융업","12",,"39114367","500","19557183500","원(KRW)","박의헌","02-520-0001","서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) "
"214270","FSN","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"33250463","500","16625231500","원(KRW)","이상석, 서정교 (각자 대표이사)","02-541-3126","서울특별시 강남구 언주로 637 싸이칸타워 "
"130500","GH신소재","KOSDAQ","중견기업부",,"031309","기타 섬유제품 제조업","12",,"14545052","500","7272526000","원(KRW)","우희구","054-460-8100","경상북도 구미시  1공단로4길 141-54 "
"114090","GKL","KOSPI",,,"189102","유원지 및 기타 오락관련 서비스업","12",,"61855670","500","30927835000","원(KRW)","김영산","02-6421-6000","서울특별시 강남구 삼성로 610 삼성동"
"900290","GRT","KOSDAQ","외국기업(소속부없음)",,"116409","기타 금융업","06",,"67375000","무액면","770089223","중국위안(CNY)","주영남","85236458129","Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong "
"078930","GS","KOSPI",,,"116409","기타 금융업","12",,"92915378","5000","473501020000","원(KRW)","허태수, 홍순기 (각자 대표이사)","-","서울특별시 강남구 논현로 508 "
"083450","GST","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"9317745","500","4658872500","원(KRW)","김덕준, 장광수(각자대표)","031-371-2200","경기도 화성시 동탄면 동탄산단6길 15-13 "
"006360","GS건설","KOSPI",,,"064101","건물 건설업","12",,"85581490","5000","427907450000","원(KRW)","허창수, 임병용(각자 대표이사)","02-2154-1112","서울특별시 종로구 종로 33 그랑서울"
"001250","GS글로벌","KOSPI",,,"074608","상품 종합 도매업","12",,"82533764","2500","206334410000","원(KRW)","이영환","02-2005-5300","서울특별시 강남구 논현로 508 GS강남타워 "
